RS26-001	第1章	医薬品の本質	H=B(0)	Q:医薬品の性質に関する次の記述a〜dのうち、正しいものの組合せはどれか。
a 医薬品は人体にとって異物であり、適正に使用しても副作用が生じることがある。
b 一般用医薬品は購入者が自ら選ぶため、専門家による情報提供は適正使用と関係しない。
c 検査薬や殺虫剤など人体へ直接用いない医薬品でも、誤用により健康へ影響することがある。
d 承認後に新たな安全性情報が得られ、使用上の注意が改訂されることがある。	1:a・b・c || 2:a・b・d || 3:a・c・d || 4:b・c・d || 5:a・c	ANS:3	FLAGS:
RS26-002	第1章	医薬品のリスク評価	H=B(0)	Q:薬物の用量と生体反応の関係について、用量を少ない方から多い方へ並べたものとして最も適切なのはどれか。	1:無作用量→最小有効量→治療量→中毒量→最小致死量→致死量 || 2:無作用量→治療量→最小有効量→中毒量→最小致死量→致死量 || 3:最小有効量→無作用量→治療量→中毒量→致死量→最小致死量 || 4:無作用量→最小有効量→中毒量→治療量→最小致死量→致死量 || 5:無作用量→最小有効量→治療量→最小致死量→中毒量→致死量	ANS:1	FLAGS:
RS26-003	第1章	健康食品	H=B(0)	Q:保健機能食品に関する記述のうち、誤っているものはどれか。	1:特定保健用食品は、表示しようとする保健の用途について国の審査・許可を受ける。 || 2:機能性表示食品は、事業者の責任で安全性・機能性の根拠を届け出る制度である。 || 3:健康食品の中には医薬品との相互作用に注意が必要なものがある。 || 4:栄養機能食品は、販売する製品ごとに国の個別審査・許可を受けて栄養機能を表示する。 || 5:栄養機能食品は、定められた規格基準に適合すれば個別許可を要しない。	ANS:4	FLAGS:
RS26-004	第1章	セルフメディケーション	H=B(0)	Q:セルフメディケーションを支援する登録販売者の役割に関する次の記述a〜dのうち、正しいものの組合せはどれか。
a 症状によっては一般用医薬品を販売せず、受診を勧める。
b 購入者の訴えから疾病名を確定し、その診断に基づいて医薬品を選択する。
c 休養や生活習慣の改善など、医薬品を使わない対処を案内することがある。
d 制度改正や新たな安全性情報に対応するため、継続して知識を更新する。	1:a・b・c || 2:a・c・d || 3:b・c・d || 4:a・b・d || 5:a・c	ANS:2	FLAGS:
RS26-005	第1章	副作用	H=C(5)	Q:一般用医薬品と副作用への対応に関する記述のうち、最も適切なのはどれか。	1:一般用医薬品で重大な副作用が疑われる症状が現れた場合は、基本的に使用を中止し、症状に応じて受診・相談する。 || 2:副作用が疑われても、因果関係が確定するまでは同じ用量で継続するのが原則である。 || 3:添加物によるアレルギー反応は起こり得るが、有効成分によるアレルギー反応は起こらない。 || 4:自覚症状が乏しい副作用はないため、使用者が異常を感じなければ安全性確認は不要である。 || 5:医療用医薬品でも副作用が疑われたときは、処方医へ相談せず自己判断で直ちに中止するのが原則である。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_20PCT,HEDGE_VS_ABSOLUTE_PATTERN
RS26-006	第1章	不適正な使用	H=B-(2)	Q:一般用医薬品の使用に関する次の記述a〜dのうち、不適正な使用に当たるものの組合せはどれか。
a 成人用の製品を、体格だけを根拠に半量へ減らして小児へ使用する。
b 同じ解熱鎮痛成分を含むかぜ薬と頭痛薬を、成分を確認せず併用する。
c 症状が改善しないため、定められた使用期間を超えて同じ薬を漫然と使い続ける。
d 服用中の処方薬を購入時に伝え、成分重複を確認する。	1:a・b || 2:a・d || 3:a・b・c || 4:b・c・d || 5:c・d	ANS:3	FLAGS:CORRECT_LONGER_35PCT
RS26-007	第1章	相互作用	H=B(0)	Q:医薬品の相互作用に関する次の記述a〜dのうち、正しいものの組合せはどれか。
a 相互作用には、作用が強くなる場合だけでなく弱くなる場合もある。
b 内服薬同士に限られず、食品や健康食品が医薬品の作用へ影響することもある。
c 同じ薬効群の一般用医薬品を併用すると、有効成分が異なっていても作用が重複する場合がある。
d 服用時刻をずらせば、機序にかかわらず相互作用を完全に防げる。	1:a・b || 2:a・b・c || 3:b・c・d || 4:a・c・d || 5:a・b・d	ANS:2	FLAGS:
RS26-008	第1章	小児への配慮	H=B(0)	Q:一般用医薬品の説明で用いられる年齢区分の組合せとして、正しいものはどれか。	1:新生児：4週以上1歳未満／乳児：1歳以上3歳未満／幼児：3歳以上7歳未満 || 2:新生児：4週未満／乳児：4週以上1歳未満／幼児：1歳以上6歳未満／小児：6歳以上15歳未満 || 3:新生児：4週未満／乳児：1歳未満／幼児：7歳未満／小児：15歳未満 || 4:新生児：8週未満／乳児：1歳未満／幼児：6歳未満／小児：12歳未満 || 5:新生児：1歳未満／乳児：3歳未満／幼児：7歳未満／小児：18歳未満	ANS:3	FLAGS:
RS26-009	第1章	高齢者・妊婦等への配慮	H=B(0)	Q:高齢者、妊婦、授乳婦、治療中の人への配慮に関する次の記述a〜dのうち、正しいものの組合せはどれか。
a 高齢者では肝・腎機能の低下や多剤使用を考慮する。
b 胎盤には医薬品成分を完全に遮断する働きがあるため、妊娠中の成分確認は不要である。
c 授乳中は成分によって乳汁へ移行することがあるため、製品ごとの注意を確認する。
d 治療中の人では、処方薬との併用可否が判断しにくい場合に処方医や薬剤師への相談を勧める。	1:a・b・c || 2:a・b・d || 3:b・c・d || 4:a・c・d || 5:a・c	ANS:4	FLAGS:
RS26-010	第1章	プラセボ効果	H=B-(2)	Q:プラセボ効果に関する記述のうち、正しいものはどれか。	1:有効成分が受容体へ作用して生じる薬理作用だけを指す。 || 2:医薬品を使用したという期待などにより症状が変化することがあり、客観的変化として現れる場合もあるが、効果は不確実である。 || 3:望ましい方向の変化だけを指し、不都合な症状変化はプラセボ効果には含まれない。 || 4:同じ説明を受ければ、年齢や状態にかかわらず同程度に現れる。 || 5:プラセボ効果が期待できる医薬品では、薬理作用や副作用を評価する必要がない。	ANS:2	FLAGS:CORRECT_LONGER_35PCT
RS26-011	第1章	適切な医薬品選択と受診勧奨	H=B(0)	Q:一般用医薬品での対処範囲を判断する際に、受診勧奨を優先する要素として適切なものの組合せはどれか。
a 急激に悪化している。
b 一定期間使用しても改善しない。
c 症状が軽く、休養で速やかに改善している。
d 高熱、呼吸困難、激しい腹痛など重い症状がある。	1:a・b || 2:a・c || 3:b・c・d || 4:a・b・d || 5:a・c・d	ANS:4	FLAGS:
RS26-012	第1章	薬害の歴史	H=B-(2)	Q:薬害とその原因・被害の組合せとして正しいものはどれか。	1:スモン―サリドマイドによる出生児の四肢欠損 || 2:HIV訴訟―キノホルム製剤による亜急性脊髄視神経症 || 3:サリドマイド訴訟―妊婦等の使用に関連した出生児の四肢欠損などの先天異常 || 4:CJD訴訟―血液凝固因子製剤を介したHIV感染 || 5:スモン―ヒト乾燥硬膜を介したプリオン感染	ANS:3	FLAGS:CORRECT_LONGER_35PCT
RS26-061	第1章	医薬品の品質と保存	H=B(0)	Q:一般用医薬品の品質保持に関する次の記述a〜dのうち、正しいものの組合せはどれか。
a 高温・多湿・直射日光は、成分や剤形によって品質低下の原因となる。
b 他の容器へ移し替えると、元の表示情報を失ったり誤用したりするおそれがある。
c 使用期限は、通常、定められた条件で保管した未開封品の品質を保証する目安である。
d 開封後も表示された使用期限までは、保存状態にかかわらず未開封時と同じ品質が保証される。	1:a・b || 2:a・b・c || 3:b・c・d || 4:a・c・d || 5:a・b・d	ANS:2	FLAGS:
RS26-062	第1章	アレルギー歴の確認	H=B-(3)	Q:一般用医薬品を販売する際のアレルギー歴確認として、最も適切なのはどれか。	1:過去の反応が軽い発疹だけなら、今回の成分確認には利用しない。 || 2:過去に医薬品やその添加物で発疹・呼吸困難等があった場合、原因製品や成分を可能な範囲で確認し、同じ成分等の再使用に注意する。 || 3:食品アレルギー歴は医薬品の添加物と関連する場合がないため、確認対象から除く。 || 4:以前に同じ製品を問題なく使えた人では、今後のアレルギー反応を考慮しなくてよい。 || 5:外用薬は局所使用なので、過去のアレルギー歴を確認する必要性が内服薬より常に低い。	ANS:2	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
