TH-R2-1-001	第1章	薬効の個人差	H=C(4)	Q:同じ一般用医薬品を同じ用量で使用しても、人によって効き方や副作用の現れ方が異なることがある理由として最も適切なのはどれか。	1:年齢、体格、生理機能、体質、併用薬などの個人差が薬への反応へ影響するため。 || 2:医薬品の作用は全員で必ず同一だから。 || 3:一般用医薬品には個人差が生じないから。 || 4:商品価格だけで薬効が決まるから。 || 5:服用者の状態は薬効と無関係だから。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_35PCT
TH-R2-1-002	第1章	アレルギー性副作用	H=B-(3)	Q:医薬品によるアレルギー性副作用について正しいものはどれか。	1:過去に問題なく使用できた医薬品でも、後の使用でアレルギー反応が生じることがある。 || 2:初回使用時に症状がなければ以後も絶対に起こらない。 || 3:用量を守ればアレルギー反応は起こらない。 || 4:有効成分だけが原因となり添加物は原因にならない。 || 5:外用薬ではアレルギー性副作用は起こらない。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R2-1-003	第1章	特定保健用食品	H=B(0)	Q:保健機能食品のうち、国による個別の審査を経て許可表示を行うものはどれか。	1:特定保健用食品 || 2:栄養機能食品 || 3:機能性表示食品 || 4:一般の健康食品 || 5:医薬部外品	ANS:1	FLAGS:
TH-R2-1-004	第1章	栄養機能食品	H=B-(3)	Q:栄養機能食品について正しいものはどれか。	1:国が定めた規格基準に適合する場合、個別の許可を受けずに所定の栄養機能表示ができる。 || 2:商品ごとに治療効果の承認を受ける。 || 3:すべて処方箋が必要である。 || 4:疾病の診断を目的とする。 || 5:医薬品と同じ副作用救済制度の対象である。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R2-1-005	第1章	機能性表示食品	H=C(4)	Q:機能性表示食品の制度について正しいものはどれか。	1:事業者が安全性・機能性の根拠を示して届け出る制度で、国が個別に機能を審査して許可する制度ではない。 || 2:国が医薬品として承認する制度である。 || 3:医師の処方でのみ販売できる。 || 4:病気の治療効果を自由に表示できる。 || 5:届出をせずに機能を表示できる。	ANS:1	FLAGS:CORRECT_LONGER_35PCT,CORRECT_STYLE_OUTLIER
TH-R2-1-006	第1章	食品と医薬品の相互作用	H=B-(3)	Q:治療中の人が健康食品を利用している場合の対応として適切なのはどれか。	1:健康食品も含めた使用状況を医師や薬剤師等へ伝えるよう勧める。 || 2:食品なので医薬品との相互作用は考えなくてよい。 || 3:健康食品を使えば処方薬を自己判断で中止できる。 || 4:健康食品は必ず処方薬の効果を高める。 || 5:医薬品と時間をずらせば相互作用は必ず防げる。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_20PCT
TH-R2-1-007	第1章	小児の誤飲	H=B-(3)	Q:家庭での医薬品保管について、小児の誤飲防止の観点から最も適切なのはどれか。	1:小児の手の届かない場所に、原則として元の容器で保管する。 || 2:菓子の空き容器へ移す。 || 3:冷蔵庫なら食品と混在させる。 || 4:服用しやすいよう常に床へ置く。 || 5:容器の表示を剥がして保管する。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R2-1-008	第1章	高齢者の生理機能	H=B-(2)	Q:高齢者への一般用医薬品販売で特に確認する理由として適切なのはどれか。	1:肝機能・腎機能の低下や多剤使用により、作用が強く出たり相互作用が起こる場合があるため。 || 2:高齢者は副作用が起こらないため。 || 3:年齢が高いほど用量を増やす必要があるため。 || 4:高齢者では医薬品が吸収されないため。 || 5:高齢者は外用薬以外を使えないため。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-1-009	第1章	妊娠と胎盤	H=C(5)	Q:妊婦の医薬品使用について正しいものはどれか。	1:成分によっては胎盤を通過して胎児へ影響する可能性がある。 || 2:胎盤はすべての医薬品成分を遮断する。 || 3:一般用医薬品なら妊娠時期を問わず安全である。 || 4:外用薬なら胎児への影響を考える必要はない。 || 5:妊娠中は用量を増やすのが原則である。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_20PCT,HEDGE_VS_ABSOLUTE_PATTERN
TH-R2-1-010	第1章	授乳と乳汁移行	H=D(7)	Q:授乳中の人に一般用医薬品を販売する際の説明として適切なのはどれか。	1:成分によっては乳汁へ移行するため、添付文書の注意事項を確認する必要がある。 || 2:すべての成分は乳汁へ移行しない。 || 3:授乳中は用法・用量を守る必要がない。 || 4:内服薬だけでなく外用薬も必ず授乳中止となる。 || 5:授乳中なら処方薬との併用確認は不要である。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_3PLUS,CORRECT_LONGER_35PCT,HEDGE_VS_ABSOLUTE_PATTERN
TH-R2-1-011	第1章	添加物とアレルギー	H=D(6)	Q:医薬品の添加物について正しいものはどれか。	1:有効成分以外の添加物が、体質によってアレルギー反応の原因となる場合がある。 || 2:添加物は人体へ一切影響しない。 || 3:添加物は表示・確認する必要がない。 || 4:アレルギーは有効成分だけで起こる。 || 5:外用薬の添加物ではアレルギーは起こらない。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_35PCT,HEDGE_VS_ABSOLUTE_PATTERN
TH-R2-1-012	第1章	スモン	H=B-(2)	Q:スモン（SMON）に関する薬害として正しいものはどれか。	1:キノホルム製剤の使用に関連し、亜急性脊髄視神経症が問題となった。 || 2:サリドマイドによる四肢欠損が中心である。 || 3:血液凝固因子製剤によるHIV感染である。 || 4:ヒト乾燥硬膜によるCJDである。 || 5:解熱鎮痛薬による無菌性髄膜炎だけを指す。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-1-013	第1章	HIV訴訟	H=B-(2)	Q:血液製剤によるHIV感染の薬害について正しいものはどれか。	1:血友病患者等に使用された血液凝固因子製剤を介したHIV感染が問題となった。 || 2:キノホルム製剤による視神経障害である。 || 3:サリドマイドによる先天異常である。 || 4:ヒト乾燥硬膜によるプリオン病である。 || 5:一般用点眼薬だけが原因である。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-1-014	第1章	CJD訴訟	H=B-(2)	Q:CJD（クロイツフェルト・ヤコブ病）訴訟に関係するものはどれか。	1:ヒト乾燥硬膜を介したプリオン感染 || 2:キノホルム製剤 || 3:サリドマイド製剤 || 4:一般用かぜ薬の過量使用 || 5:機能性表示食品	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-1-015	第1章	薬害の共通教訓	H=B-(3)	Q:複数の薬害から得られる安全対策上の共通教訓として適切なのはどれか。	1:市販後も有害事象を収集・評価し、必要な対策を迅速に講じることが重要である。 || 2:承認時に安全なら市販後監視は不要である。 || 3:副作用情報は利用者へ知らせない方がよい。 || 4:薬害は医療用医薬品だけの問題である。 || 5:一度決めた使用上の注意は変更しない。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R2-1-016	第1章	依存を生じる不適正使用	H=C(4)	Q:一般用医薬品の不適正使用について正しいものはどれか。	1:一部の成分は本来の目的を外れて反復・多量使用されると、依存や健康被害につながることがある。 || 2:一般用医薬品では依存は起こり得ない。 || 3:用法を超えるほど安全性は高まる。 || 4:長期の多量使用は全て適正使用である。 || 5:購入目的は販売時に確認してはならない。	ANS:1	FLAGS:CORRECT_LONGER_35PCT,CORRECT_STYLE_OUTLIER
TH-R2-1-017	第1章	生活習慣とセルフケア	H=C(4)	Q:一般用医薬品による対処とあわせて考えるべき対応として適切なのはどれか。	1:休養、栄養、運動など生活習慣の改善が有効な場合はそれも検討する。 || 2:薬を使えば休養は不要である。 || 3:症状がなくても常に薬を使う。 || 4:生活習慣は健康状態と無関係である。 || 5:薬の効果を高めるため用量を自己判断で増やす。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_35PCT
TH-R2-1-018	第1章	別容器への移替え	H=B-(3)	Q:家庭で医薬品を別の空き容器へ移し替えて保管することについて適切なのはどれか。	1:誤用や品質変化の原因となるため、原則として元の容器で保管する。 || 2:食品容器へ移すほど安全である。 || 3:容器表示は保存時に不要である。 || 4:別容器へ移すと使用期限が延びる。 || 5:小児の誤飲防止には菓子容器が最適である。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R2-1-019	第1章	使用期限	H=D(6)	Q:一般用医薬品の使用期限について正しいものはどれか。	1:通常、適切に保存された未開封品について品質が保たれる期限を示す。 || 2:開封後も期限日まで必ず品質が保証される。 || 3:期限を過ぎても外観が同じなら必ず使用できる。 || 4:使用期限は広告上の目安で品質と無関係である。 || 5:使用期限は販売者だけが確認すればよい。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_35PCT,HEDGE_VS_ABSOLUTE_PATTERN
TH-R2-1-020	第1章	医薬品情報の更新	H=B-(2)	Q:登録販売者が資格取得後も継続学習を行う理由として最も適切なのはどれか。	1:副作用情報、使用上の注意、販売制度などが更新されるため。 || 2:資格取得時点で知識は永久に変わらないため。 || 3:一般用医薬品は新製品が出ないため。 || 4:法令改正は販売現場に影響しないため。 || 5:添付文書は改訂されないため。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-001	第2章	口腔	H=B-(2)	Q:唾液の働きとして正しいものはどれか。	1:食物を湿らせ、でんぷんの消化に関わる酵素を含む。 || 2:胆汁を産生する。 || 3:尿を濃縮する。 || 4:酸素を血液へ取り込む。 || 5:血液凝固を直接行う。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-002	第2章	食道	H=B-(2)	Q:食道の主な働きとして正しいものはどれか。	1:蠕動運動により飲み込んだ食物を胃へ送る。 || 2:栄養分の大部分を吸収する。 || 3:胆汁をつくる。 || 4:血糖を調節するホルモンを分泌する。 || 5:尿をつくる。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-003	第2章	胃	H=B-(2)	Q:胃の働きについて正しいものはどれか。	1:胃液を分泌し、食物を攪拌して消化を進める。 || 2:栄養分の大部分を吸収する。 || 3:胆汁を蓄える。 || 4:尿を一時的に蓄える。 || 5:酸素と二酸化炭素を交換する。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-004	第2章	小腸	H=B-(2)	Q:小腸の特徴として正しいものはどれか。	1:絨毛などにより表面積が大きく、栄養分の吸収の中心となる。 || 2:便を蓄えるだけの器官である。 || 3:胃酸を分泌する。 || 4:尿をつくる。 || 5:赤血球をつくる主な器官である。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-005	第2章	大腸	H=B-(2)	Q:大腸の働きとして正しいものはどれか。	1:水分や電解質の吸収に関与し、便を形成する。 || 2:胆汁を産生する。 || 3:食物中たんぱく質の消化を開始する。 || 4:酸素を取り込む。 || 5:血液を全身へ送り出す。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-006	第2章	胆汁	H=B-(2)	Q:胆汁について正しいものはどれか。	1:肝臓でつくられ、胆のうに蓄えられて脂質の消化を助ける。 || 2:胃でつくられ、糖質を分解する。 || 3:膵臓でつくられ、尿へ排泄される。 || 4:腎臓でつくられ、血液を凝固させる。 || 5:肺でつくられ、酸素を運ぶ。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-007	第2章	膵臓	H=B-(2)	Q:膵臓の働きとして正しいものはどれか。	1:消化酵素を含む膵液を分泌するとともに、血糖調節に関わるホルモンも分泌する。 || 2:胆汁だけを産生する。 || 3:尿を蓄える。 || 4:血液中の酸素を運搬する。 || 5:皮膚の角質を形成する。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-008	第2章	鼻腔	H=B-(2)	Q:鼻腔の防御機能として正しいものはどれか。	1:鼻毛や粘液などにより吸い込んだ異物の侵入を抑える。 || 2:胆汁を分泌して細菌を殺す。 || 3:尿を濾過する。 || 4:血小板を産生する。 || 5:骨を形成する。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
TH-R2-2-009	第2章	気管・気管支	H=B-(2)	Q:気管や気管支の粘膜にある線毛の働きとして正しいものはどれか。	1:粘液に捕らえられた異物を咽頭側へ運び、排出を助ける。 || 2:胃酸を中和する。 || 3:血糖を下げる。 || 4:尿を膀胱へ送る。 || 5:水晶体の厚さを変える。	ANS:1	FLAGS:CORRECT_LONGER_35PCT
