id	sourceExam	questionNo	subject	domain	question	choices_json	answer_type	answer_json	accepted_answers_json	scoring_status	requires_media	choiceParseStatus	correctionStatus_json	caseGroupId	source_url	answer_source_url	effective_date	rights_basis
P109-006	109	6	必須	物理・化学・生物	同圧下で沸点が最も高いのはどれか。1つ選べ。 1 2 3 CH3CH2CH2CH3 CH3CH2CH2CH2CH3 （CH3）2CHCH3 4 5 （CH3） 2CHCH2CH3 （CH3）4C	[]	singleChoice	1	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-008	109	8	必須	物理・化学・生物	転位反応はどれか。1つ選べ。 ただし、すべての反応は終了後、適切な後処理を施していることとする。また、 生成物は主生成物のみを示している。 O OH C6H5MgBr OH H2SO4 O NH2OH N OH H N H2SO4 N O OH O NaBH4 OH	[]	singleChoice	3	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-019	109	19	必須	衛生	下図は、食事摂取基準における摂取量とリスクの概念図である。図中のＡで示 されるのはどれか。1つ選べ。 過剰摂取によって健康障害が生じるリスク ₁.₀ 不足のリスク ₀.₅ ₀ . ₀₂₅ ₀ Ａ 習慣的な摂取量	"[""耐用上限量"",""推奨量"",""目安量"",""推定平均必要量"",""目標量""]"	singleChoice	1	null	normal	true	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-021	109	21	必須	衛生	シモン反応によって確認できる薬物はどれか。1つ選べ。 1 2 3 H NH2 HO N CH3 CH3 CH3 O N CH3 H HO 4 5 H3C O CH3 CH3 N H O OH H H O H O H3C O CH3 CH3	[]	singleChoice	0	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-025	109	25	必須	衛生	下図は、環境基本法で規定されている ₇ 種類の公害（典型七公害）の種類別公 害苦情件数の推移を示したものである。アに該当するのはどれか。1つ選べ。 ₃₀ ,₀₀₀ ₂₅ ,₀₀₀ ア ₂₀ ,₀₀₀ 苦情件数（件） ₁₅ ,₀₀₀ ₁₀ ,₀₀₀ ₅ ,₀₀₀ 土壌汚染 地盤沈下 ₀ ₅₃ ₅₄ ₅₅ ₅₆ ₅₇ ₅₈ ₅₉ ₆₀ ₆₁ ₆₂ ₆₃ 元 ₂ ₃ ₄ ₅ ₆ ₇ ₈ ₉ ₁₀ ₁₁ ₁₂ ₁₃ ₁₄ ₁₅ ₁₆ ₁₇ ₁₈ ₁₉ ₂₀ ₂₁ ₂₂ ₂₃ ₂₄ ₂₅ ₂₆ ₂₇ ₂₈ ₂₉ ₃₀ 元 ₂ ₃ 昭和 平成 令和 （年度） 図 典型七公害の種類別公害苦情件数 令和三年度 公害苦情調査結果報告書（総務省、公害等調査委員会事務局）	"[""悪臭"",""振動"",""水質汚濁"",""騒音"",""大気汚染 必須問題 【薬理】""]"	singleChoice	3	null	normal	true	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-039	109	39	必須	薬理	DNA ジャイレース及びトポイソメラーゼⅣを阻害することで、細菌の DNA 複 製を抑制する抗菌薬はどれか。1つ選べ。 1 2 OH O OH O O HN OH N N NH2 OH F CO2H H H HO CH3 H N CH3 O H3C HO H O H H NH2 H HO H2N H HO H O H H O OH H HO H HO O H H OH H H H NH2 NH2 4 5 H CH3 O CO2H H H3C N H2N H N CH3 H CH3 H CH3 HO CH3 N H S CH3 H3C OH H H HO O CH3 OO HO H H O CH3 H H CH3 N H CH3 H H H O H OH HO O O H CH3 CH3 O CH3 H H CH3	[]	singleChoice	0	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-041	109	41	必須	薬剤	下図に示す Fick の法則に従う細胞膜透過において、薬物の透過速度と反比例す るのはどれか。1つ選べ。 細胞外 細胞膜 細胞内 C1 C out C out：細胞外溶液の薬物濃度 C 1 ：細胞外溶液と接する面の膜中薬物濃度 薬物の濃度 C2 C 2 ：細胞内溶液と接する面の膜中薬物濃度 C in C in ：細胞内溶液の薬物濃度 膜の厚さ L	"[""膜の有効表面積"",""薬物の膜中の拡散係数"",""膜の厚さ（L）"",""薬物の膜への分配係数（C 1/C out）"",""細胞外及び細胞内溶液と接する面の膜中薬物濃度の差（C 1 - C 2）""]"	singleChoice	2	null	normal	true	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-042	109	42	必須	薬剤	小腸上皮細胞を模式的に示した下図中の 1 ～ 6 のうち、P︲糖タンパク質の局在 と基質の輸送方向を正しく表しているのはどれか。1つ選べ。ただし、図中の矢印 の向きは基質の輸送方向を示す。 管腔側 1 2 3 4 5 6 血管側	[]	singleChoice	0	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-050	109	50	必須	薬剤	複合体を形成することによって、以下の疎水性薬物を安定化するのに用いられ る化合物はどれか。1つ選べ。 一般名：アルプロスタジル 構造式： O H CO2H CH3 HO H H H OH	"[""アスコルビン酸"",""a︲シクロデキストリン"",""カルメロースナトリウム"",""エデト酸ナトリウム水和物"",""パラオキシ安息香酸ブチル""]"	singleChoice	1	null	normal	true	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-052	109	52	必須	薬剤	日本薬局方の製剤に関する一般試験法のうち、下図の装置を用いるのはどれ か。1つ選べ。 ダイヤルゲージ 円錐 試料台	"[""崩壊試験法"",""眼軟膏剤の金属性異物試験法"",""半固形製剤の流動学的測定法"",""粘着力試験法"",""吸入剤の空気力学的粒度測定法""]"	singleChoice	2	null	normal	true	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
