id	sourceExam	questionNo	subject	domain	question	choices_json	answer_type	answer_json	accepted_answers_json	scoring_status	requires_media	choiceParseStatus	correctionStatus_json	caseGroupId	source_url	answer_source_url	effective_date	rights_basis
P109-001	109	1	必須	物理・化学・生物	永久双極子モーメントをもつ分子はどれか。1つ選べ。	"[""ベンゼン"",""メタン"",""二酸化炭素"",""水"",""四塩化炭素""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-002	109	2	必須	物理・化学・生物	SDS ポリアクリルアミドゲル電気泳動を行った後、タンパク質の染色に用いる最 も適切な化合物はどれか。1つ選べ。	"[""ニンヒドリン"",""臭化エチジウム"",""o︲フタルアルデヒド"",""フルオレセインイソチオシアネート"",""クーマシーブリリアントブルー（クマシーブリリアントブルー）""]"	singleChoice	4	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-003	109	3	必須	物理・化学・生物	質量数は変わらず原子番号が ₁ 増加した娘核種が生成するのはどれか。1つ選 べ。	"[""a 壊変"",""b 壊変 -"",""b 壊変 +"",""軌道電子捕獲"",""核異性体転移""]"	singleChoice	1	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-004	109	4	必須	物理・化学・生物	粉末 X 線回折パターンの横軸に表されるパラメータはどれか。1つ選べ。 ただし、i は入射 X 線と格子面群との間の角度である。	"[""₂i"",""i i ₂""]"	singleChoice	0	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-005	109	5	必須	物理・化学・生物	₂₅ ℃における ₀ . ₀₁ mol/L 安息香酸水溶液の pH に最も近い値はどれか。1つ選 べ。 ただし、安息香酸の pKa = ₄ . ₂（₂₅ ℃）とする。	"[""₁.₅"",""₃.₀"",""₄.₅"",""₆.₀"",""₇.₅""]"	singleChoice	1	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-007	109	7	必須	物理・化学・生物	活性酸素種でないのはどれか。1つ選べ。	"[""O2"",""O2"",""• O2 -"",""• OH"",""H2O2""]"	singleChoice	1	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-009	109	9	必須	物理・化学・生物	図は、エチレンへの塩化水素の付加反応における反応の進行度とポテンシャルエ ネルギーの関係を表している。塩化物イオンが求核攻撃する段階の活性化エネル ギーはどれか。1つ選べ。 E3 E1 エネルギー E2 H2C=CH2 E4 ＋ HCl CH3CH2Cl 反応の進行度	"[""E1"",""E1 - E2"",""E3"",""E2 + E3"",""E4""]"	singleChoice	2	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-010	109	10	必須	物理・化学・生物	以下の生薬のうち、排尿障害を悪化させる可能性が最も高いのはどれか。1つ 選べ。	"[""ゲンノショウコ"",""センブリ"",""ケツメイシ"",""ロートコン"",""オウバク""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-011	109	11	必須	物理・化学・生物	第 ₈ 脳神経によって主に伝えられる感覚はどれか。1つ選べ。	"[""嗅覚"",""視覚"",""聴覚"",""味覚"",""触覚""]"	singleChoice	2	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-012	109	12	必須	物理・化学・生物	真核細胞の核内の DNA とは別に、独立した DNA を遺伝情報として有する細胞 小器官はどれか。1つ選べ。	"[""ペルオキシソーム"",""ミトコンドリア"",""リソソーム"",""ゴルジ体"",""小胞体""]"	singleChoice	1	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-013	109	13	必須	物理・化学・生物	核内受容体のリガンドの前駆体となるビタミンはどれか。1つ選べ。	"[""ナイアシン"",""ピリドキシン"",""パントテン酸"",""レチノール"",""ビオチン""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-014	109	14	必須	物理・化学・生物	血漿リポタンパク質のうち、その組成に占めるコレステロールの割合が最も高 く、肝臓から全身の組織へのコレステロール輸送を主として担うのはどれか。1つ 選べ。	"[""キロミクロン"",""超低密度リポタンパク質（VLDL）"",""中間密度リポタンパク質（IDL）"",""低密度リポタンパク質（LDL）"",""高密度リポタンパク質（HDL）""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-015	109	15	必須	物理・化学・生物	主要組織適合遺伝子複合体（MHC）のクラスⅠ分子とクラスⅡ分子の両方で抗 原提示できる免疫担当細胞はどれか。1つ選べ。	"[""樹状細胞"",""キラー T 細胞"",""好中球"",""巨核球"",""制御性 T 細胞 必須問題 【衛生】""]"	singleChoice	0	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P109-016	109	16	必須	衛生	対象集団について、ある一時点における疾病の有無と要因の保有状況を調査 し、その関連を明らかにする疫学研究手法はどれか。1つ選べ。	"[""症例対照研究"",""縦断的研究"",""介入研究"",""コホート研究"",""横断的研究""]"	singleChoice	4	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001226759.pdf	https://www.mhlw.go.jp/content/001228441.pdf	2024-02-18	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
